Date,Value
31-May-26,46.42M
30-Apr-26,41.53M
31-Mar-26,40.60M
28-Feb-26,36.20M
31-Jan-26,24.63M
31-Dec-25,28.69M
30-Nov-25,25.94M
31-Oct-25,23.59M
30-Sep-25,25.15M
31-Aug-25,21.42M
31-Jul-25,20.87M
30-Jun-25,20.77M
31-May-25,18.57M
30-Apr-25,16.09M
31-Mar-25,20.71M
28-Feb-25,18.03M
31-Jan-25,16.65M
31-Dec-24,21.29M
30-Nov-24,20.71M
31-Oct-24,18.73M
30-Sep-24,19.07M
31-Aug-24,18.24M
31-Jul-24,14.42M
30-Jun-24,17.01M
31-May-24,14.79M
30-Apr-24,12.53M
31-Mar-24,14.37M
29-Feb-24,12.24M
31-Jan-24,11.73M
31-Dec-23,13.73M
30-Nov-23,13.43M
31-Oct-23,11.97M
30-Sep-23,13.14M
31-Aug-23,11.48M
31-Jul-23,10.75M
30-Jun-23,12.30M
31-May-23,9.946M
30-Apr-23,8.806M
31-Mar-23,10.43M
28-Feb-23,9.395M
31-Jan-23,9.003M
31-Dec-22,11.46M
30-Nov-22,11.06M
31-Oct-22,11.69M
30-Sep-22,13.77M
31-Aug-22,11.52M
31-Jul-22,10.80M
30-Jun-22,12.10M
31-May-22,12.61M
30-Apr-22,11.63M
